food_id,menu,major_category,middle_category,minor_category,image
1,제육덮밥,한식,밥,식사,
2,오징어덮밥,한식,밥,식사,
3,돌솥비빔밥,한식,밥,식사,
4,비빔밥,한식,밥,식사,
5,오므라이스,한식,밥,식사,
6,카레덮밥,한식,밥,식사,
7,야채 볶음밥,한식,밥,식사,
8,쌈밥,한식,밥,식사,
9,김치 볶음밥,한식,밥,식사,
10,김치찌개,한식,국(탕),식사,
11,부대찌개,한식,국(탕),식사,
12,된장찌개,한식,국(탕),식사,
13,육개장,한식,국(탕),식사,
14,순두부찌개,한식,국(탕),식사,
15,동태찌개,한식,국(탕),식사,
16,청국장,한식,국(탕),식사,
17,콩비지찌개,한식,국(탕),식사,
18,알밥,한식,밥,식사,
19,곱창전골,한식,국(탕),요리,
20,두부전골,한식,국(탕),요리,
21,만두전골,한식,국(탕),요리,
22,버섯전골,한식,국(탕),요리,
23,부대전골,한식,국(탕),요리,
24,매운탕,한식,국(탕),요리,
25,감자탕,한식,국(탕),요리,
26,돼지국밥,한식,국(탕),식사,
27,콩나물국밥,한식,국(탕),식사,
28,소머리국밥,한식,국(탕),식사,
29,순대국밥,한식,국(탕),식사,
30,미역국,한식,국(탕),식사,
31,선지해장국,한식,국(탕),식사,
32,내장탕,한식,국(탕),식사,
33,소고기뭇국,한식,국(탕),식사,
34,불고기,한식,고기,요리,
35,갈비탕,한식,국(탕),식사,
36,추어탕,한식,국(탕),식사,
37,설렁탕,한식,국(탕),식사,
38,백숙,한식,고기,요리,
39,삼계탕,한식,국(탕),식사,
40,꼬리곰탕,한식,국(탕),식사,
41,닭곰탕,한식,국(탕),식사,
42,닭개장,한식,국(탕),식사,
43,샤브샤브,일식,고기,요리,
44,매운탕,한식,국(탕),요리,
45,해물탕,한식,국(탕),요리,
46,뼈해장국,한식,국(탕),식사,
47,오리주물럭,한식,고기,요리,
48,돼지두루치기,한식,고기,요리,
49,낙곱새,야식,고기,요리,
50,찜닭,한식,고기,요리,
51,닭갈비,한식,고기,요리,
52,오돌뼈,야식,고기,요리,
53,오삼불고기,한식,고기,요리,
54,콩나물불고기,한식,고기,요리,
55,갈비찜,한식,고기,요리,
56,곱(막)창,한식,고기,요리,
57,갈비,한식,고기,요리,
58,고등어구이,한식,생선구이,요리,
59,갈치구이,한식,생선구이,요리,
60,조기구이,한식,생선구이,요리,
61,삼치구이,한식,생선구이,요리,
62,장어구이,한식,생선구이,요리,
63,육회비빔밥,한식,밥,식사,
64,라면,분식,면,식사,
65,우동,분식,면,식사,
66,냉면,한식,면,식사,
67,칼국수,한식,면,식사,
68,짜장라면,분식,면,식사,
69,비빔국수,한식,면,식사,
70,잔치국수,한식,면,식사,
71,막국수,한식,면,식사,
72,콩국수,한식,면,식사,
73,밀면,한식,면,식사,
74,떡국,한식,국(탕),식사,
75,수제비,한식,면,식사,
76,고기국수,한식,면,식사,
77,김치말이국수,한식,면,식사,
78,쫄면,분식,면,식사,
79,떡볶이,분식,떡,간식,
80,핫도그,분식,빵,간식,
81,김밥,분식,밥,식사,
82,순대,분식,고기,간식,
83,돈까스,분식,고기,식사,
84,튀김,분식,튀김,요리,
85,어묵,분식,어묵,간식,
86,라볶이,분식,면,식사,
87,만두,분식,고기,간식,
88,라멘,일식,면,식사,
89,가츠동,일식,밥,식사,
90,오코노미야끼,일식,전,요리,
91,초밥,일식,밥,식사,
92,규동,일식,밥,식사,
93,소바,일식,면,식사,
94,회덮밥,일식,밥,식사,
95,나베,일식,국(탕),식사,
96,짜장면,중식,면,식사,
97,짬뽕,중식,면,식사,
98,볶음밥,중식,밥,식사,
99,탕수육,중식,고기,요리,
100,마파두부,중식,고기,요리,
101,깐풍기,중식,고기,요리,
102,고추잡채,중식,면,요리,
103,팔보채,중식,고기,요리,
104,꿔바로우,중식,고기,요리,
105,멘보샤,중식,빵,요리,
106,마라탕,중식,국(탕),식사,
107,마라샹궈,중식,볶음,요리,
108,깐쇼새우,중식,볶음,요리,
109,스파게티,양식,면,식사,
110,파스타,양식,면,식사,
111,스테이크,양식,고기,요리,
112,햄버거,양식,빵,간식,
113,치킨,야식,고기,요리,
114,족발,야식,고기,요리,
115,보쌈,야식,고기,요리,
116,피자,양식,빵,요리,
117,닭발,야식,고기,요리,
118,골뱅이 무침,야식,면,요리,
119,삼겹살,한식,고기,요리,
120,어묵탕,야식,국(탕),식사,
121,육회,야식,회,요리,
122,해물찜,한식,찜,요리,
123,아구찜,한식,찜,요리,
124,꽃게찜,한식,찜,요리,
125,대게찜,한식,찜,요리,
126,폭립,양식,고기,요리,
127,토스트,분식,빵,간식,
128,샌드위치,분식,빵,간식,
129,회,일식,회,요리,
130,리조또,양식,밥,식사,
131,감바스,양식,볶음,요리,
132,쭈꾸미 볶음,한식,볶음,요리,
133,전,한식,전,요리,
134,닭갈비,한식,고기,요리,
135,찜닭,한식,고기,요리,
136,오돌뼈,야식,고기,요리,
137,쌀국수,아시안,면,식사,
138,월남쌈,아시안,쌈,요리,
139,양꼬치,중식,고기,요리,
140,양갈비,중식,고기,요리,
141,죽,한식,죽,식사,
